feature 2;cg12045430;WASH5P
feature 96306;cg18731398;MYLK
feature 47155;cg25604731;null
feature 47156;cg02557922;null
feature 30777;cg12796135;DENND4B
feature 47163;cg15517113;null
feature 424004;cg11564711;null
feature 325696;cg04865056;GALNT9
feature 325699;cg21167716;GALNT9
feature 473166;cg08270630;null
feature 424010;cg14573759;null
feature 424009;cg22063692;null
feature 227410;cg21910355;null
feature 14420;cg18857467;HDAC1
feature 374865;cg10413513;RBFOX1
feature 30807;cg09079613;SLC39A1
feature 161877;cg12449931;TUBB
feature 227419;cg09626193;SOX17
feature 260191;cg10770832;DUPD1
feature 374873;cg03998719;RBFOX1
feature 407642;cg26589351;SPOP
feature 309349;cg13285458;CACNB3
feature 79971;cg25410641;HDAC4
feature 325734;cg23888021;null
feature 227424;cg04672706;SOX17
feature 292967;cg10599456;PGM2L1
feature 325731;cg12075445;GALNT9
feature 145514;cg20534662;PPARGC1B
feature 391276;cg26870093;AFG3L1P
feature 374891;cg09790780;RBFOX1
feature 14447;cg08843283;FAM229A
feature 227443;cg05511722;null
feature 325748;cg03515871;null
feature 374900;cg27449328;RBFOX1
feature 227442;cg06616729;null
feature 424055;cg12645852;null
feature 374903;cg10338848;RBFOX1
feature 325750;cg22163812;null
feature 292977;cg23189044;KCNE3
feature 227445;cg00688447;null
feature 145531;cg09109411;PDE6A
feature 96379;cg05121182;KALRN
feature 14458;cg22045990;TSSK3
feature 260216;cg24634577;DUSP13
feature 391288;cg27298262;DBNDD1
feature 227453;cg27027827;null
feature 227459;cg04013650;null
feature 227460;cg06463424;null
feature 145545;cg22640213;SLC26A2
feature 80015;cg10929178;null
feature 456854;cg22988566;WFDC10B
feature 145555;cg26303603;SLC26A2
feature 374935;cg02003612;TMEM114
feature 227483;cg09524907;XKR4
feature 211096;cg00911776;LINC-PINT
feature 14492;cg00987080;ZBTB8B
feature 112799;cg24215978;LDB2
feature 161954;cg10513302;FLOT1
feature 194720;cg16884974;TWISTNB
feature 227493;cg09443388;XKR4
feature 178340;cg12772086;null
feature 194724;cg00726147;TWISTNB
feature 374959;cg04158290;METTL22
feature 325807;cg23850637;null
feature 358569;cg07125112;FRMD5
feature 30892;cg03830929;TPM3
feature 96437;cg24175649;KALRN
feature 30901;cg04934776;C1orf189
feature 456880;cg00533866;DNTTIP1
feature 374972;cg03389720;ABAT
feature 473274;cg06495501;MLC1
feature 391354;cg00431924;null
feature 407746;cg02865928;null
feature 260294;cg26087625;null
feature 407747;cg08973688;null
feature 342211;cg02150867;LRFN5
feature 260293;cg27367142;null
feature 342210;cg10160975;LRFN5
feature 80073;cg09920072;null
feature 424143;cg07460565;ZNF236
feature 473293;cg08074528;MOV10L1
feature 309454;cg05164634;WNT10B
feature 473292;cg12971867;MOV10L1
feature 260296;cg06646548;null
feature 358601;cg03609787;CTDSPL2
feature 391368;cg09002677;null
feature 227533;cg14649589;null
feature 47312;cg13293488;null
feature 30929;cg11580663;HAX1
feature 325846;cg06958184;null
feature 96466;cg00696323;ITGB5
feature 473300;cg14008640;MOV10L1
feature 407765;cg17833265;null
feature 112852;cg01802294;CLRN2
feature 30935;cg01628253;HAX1
feature 309459;cg11701621;WNT1
feature 243928;cg05120715;UGCG
feature 407768;cg21342910;null
feature 80095;cg15970897;null
feature 276699;cg25204743;KCNQ1
feature 129246;cg04242070;null
feature 440550;cg09986680;null
feature 129250;cg06534988;null
feature 375014;cg16451995;PMM2
feature 80101;cg01204772;null
feature 47336;cg02089014;null
feature 456940;cg04013732;ZSWIM3
feature 260338;cg03936104;ZNF503-AS2
feature 14578;cg21167532;KIAA1522
feature 440564;cg03099849;null
feature 145648;cg16024318;SLC6A7
feature 162036;cg20178172;IER3
feature 260341;cg15182635;ZNF503-AS2
feature 440574;cg07424400;IFNL1
feature 276732;cg02798157;KCNQ1OT1
feature 260345;cg10642548;ZNF503-AS2
feature 325887;cg23437973;null
feature 80126;cg23227462;null
feature 211196;cg20951255;null
feature 440580;cg11199014;LRFN1
feature 440578;cg01076874;LRFN1
feature 96518;cg01378515;HEG1
feature 243979;cg12063910;SNX30
feature 178442;cg08624680;null
feature 211209;cg11311332;null
feature 456968;cg19067730;CTSA
feature 227601;cg19615789;SNORD54
feature 407827;cg25109721;null
feature 473375;cg01149940;TRABD
feature 293149;cg01901332;ARRB1
feature 276762;cg11585942;KCNQ1
feature 227623;cg00931742;MOS
feature 14629;cg11524235;HPCA
feature 63782;cg01577475;PAX8
feature 456993;cg21602257;PLTP
feature 276781;cg12901038;KCNQ1
feature 31018;cg05637536;TDRD10
feature 293166;cg26766373;ARRB1
feature 227624;cg00636390;MOS
feature 63788;cg06881093;PAX8
feature 211247;cg09162916;PLXNA4
feature 473385;cg19216490;SELO
feature 244018;cg00898157;null
feature 244017;cg16575544;null
feature 440628;cg12002420;MED29
feature 440626;cg02406092;PAF1
feature 145718;cg08983975;TCOF1
feature 325937;cg24393700;null
feature 407857;cg23845806;PDK2
feature 457022;cg17986701;PCIF1
feature 424252;cg17911318;GALR1
feature 211257;cg02489094;PLXNA4
feature 473404;cg21007213;SELO
feature 325945;cg04895166;null
feature 162108;cg11609578;null
feature 424249;cg03032214;GALR1
feature 162115;cg21249595;null
feature 162112;cg26918723;null
feature 424261;cg03165383;GALR1
feature 391489;cg20718570;RPH3AL
feature 162117;cg16079541;null
feature 424257;cg10390058;GALR1
feature 178506;cg03950614;NR2E1
feature 31049;cg09106948;UBE2Q1
feature 47434;cg07609206;SNTG2
feature 293199;cg05327192;KLHL35
feature 31051;cg00419822;null
feature 178505;cg08640634;NR2E1
feature 178510;cg24104938;NR2E1
feature 424265;cg16318253;null
feature 276811;cg10151367;KCNQ1
feature 63825;cg10602757;FOXD4L1
feature 31059;cg12654064;CHRNB2
feature 424275;cg18564898;null
feature 440659;cg00561089;null
feature 260443;cg14236430;C10orf11
feature 129368;cg23948236;null
feature 96602;cg03344068;null
feature 63838;cg09642925;null
feature 47454;cg12809766;SNTG2
feature 31072;cg11193281;CHRNB2
feature 47456;cg19885539;SNTG2
feature 178530;cg25775494;NR2E1
feature 260451;cg11847543;null
feature 260454;cg27495447;null
feature 129382;cg08663909;null
feature 358754;cg07320850;DUOX1
feature 391522;cg21909751;RPH3AL
feature 63848;cg23690488;null
feature 276840;cg03757552;null
feature 178542;cg20731469;NR2E1
feature 457066;cg04539957;SLC12A5
feature 113004;cg13485685;SLIT2
feature 375147;cg05187154;null
feature 47471;cg00040862;TPO
feature 162160;cg25607383;DDR1
feature 47475;cg07083862;TPO
feature 47476;cg10370591;TPO
feature 424306;cg13850825;null
feature 178551;cg21762523;NR2E1
feature 211317;cg25453914;CHCHD3
feature 260469;cg18099423;KCNMA1
feature 276851;cg06582202;KCNQ1DN
feature 358780;cg11788833;null
feature 457084;cg07871947;SLC12A5
feature 473469;cg19184963;MAPK11
feature 342398;cg02410986;MDGA2
feature 227704;cg07080864;PENK
feature 342393;cg26010412;MDGA2
feature 424324;cg14847845;null
feature 293262;cg19225602;null
feature 63884;cg23411121;RPL23AP7
feature 457099;cg00629625;SLC12A5
feature 424329;cg25032793;null
feature 375184;cg04761722;GRIN2A
feature 375197;cg06758670;GRIN2A
feature 227738;cg00197636;IMPAD1
feature 424348;cg05093561;null
feature 358814;cg00982984;SHF
feature 407965;cg03799835;COL1A1
feature 293272;cg11351958;SERPINH1
feature 293274;cg17009522;SERPINH1
feature 293275;cg09037867;SERPINH1
feature 145827;cg07433178;SYNPO
feature 407970;cg23730606;COL1A1
feature 244134;cg14037728;ZNF618
feature 358818;cg11543883;null
feature 440751;cg19671026;SELV
feature 162222;cg23142900;GTF2H4
feature 14765;cg10975001;TRIM62
feature 326057;cg08163785;FBRSL1
feature 194994;cg19929194;RAPGEF5
feature 244146;cg14486892;ZNF618
feature 145841;cg06654628;SYNPO
feature 113077;cg15158924;KCNIP4
feature 178614;cg07580479;FOXO3
feature 473522;cg19553402;PLXNB2
feature 276914;cg17434043;CDKN1C
feature 375219;cg00966255;null
feature 129463;cg14970046;IRX4
feature 162235;cg02815249;GTF2H4
feature 309694;cg12374506;C1QL4
feature 178617;cg19484481;FOXO3
feature 145849;cg01025434;SYNPO
feature 407994;cg06190244;null
feature 407995;cg21286117;null
feature 424379;cg26556489;null
feature 14781;cg25274008;TRIM62
feature 145852;cg08103144;SYNPO
feature 244163;cg14090149;null
feature 80324;cg15726768;null
feature 326081;cg12093005;FBRSL1
feature 113095;cg18953078;null
feature 244171;cg03758241;COL27A1
feature 408015;cg01734062;TMEM92
feature 244170;cg05816844;COL27A1
feature 375246;cg01654820;EMP2
feature 358862;cg08642237;SPATA5L1
feature 63947;cg03207661;null
feature 391627;cg18057904;FAM101B
feature 195021;cg27166527;STEAP1B
feature 424406;cg24378439;null
feature 14807;cg02972475;ZNF362
feature 424413;cg00192819;null
feature 31197;cg07818949;SHC1
feature 424411;cg22110922;null
feature 227815;cg05313129;LINC00588
feature 457186;cg07612821;CDH22
feature 211435;cg02659138;SLC35B4
feature 31210;cg15556748;SHC1
feature 326121;cg18607533;FBRSL1
feature 358891;cg07243932;SLC30A4
feature 473590;cg15226135;SBF1
feature 80371;cg13232118;MIR149
feature 31219;cg04915414;SHC1
feature 63988;cg03753331;DPP10
feature 31222;cg17891149;SHC1
feature 227833;cg08461352;FAM110B
feature 211455;cg21079345;AKR1B1
feature 293368;cg26541415;UVRAG
feature 129536;cg26526719;null
feature 162311;cg02149965;VARS2
feature 195076;cg14448850;TOMM7
feature 129543;cg20707230;null
feature 244235;cg00503760;null
feature 293390;cg10612617;WNT11
feature 178697;cg13839145;SESN1
feature 375305;cg03309770;TVP23A
feature 326153;cg19026573;FBRSL1
feature 408072;cg18006085;LRRC59
feature 195084;cg11367502;TOMM7
feature 375306;cg26952618;TVP23A
feature 260627;cg08694280;DLG5-AS1
feature 277012;cg19497444;SLC22A18
feature 145939;cg19486756;ZNF300
feature 424469;cg07621803;null
feature 113170;cg06861395;null
feature 277008;cg14168614;SLC22A18
feature 14868;cg18238908;null
feature 64022;cg25939015;null
feature 358940;cg06207120;null
feature 96792;cg20988073;ALDH1L1
feature 145944;cg08580836;ZNF300
feature 358942;cg01629716;null
feature 408090;cg05346527;ACSF2
feature 31261;cg11715725;ZBTB7B
feature 195103;cg04313733;null
feature 162335;cg25586244;VARS2
feature 227875;cg22330497;UBXN2B
feature 178722;cg26497354;null
feature 408100;cg19961043;CHAD
feature 457253;cg01471196;ZNF334
feature 195105;cg27229764;FAM126A
feature 31268;cg04432617;ZBTB7B
feature 277024;cg05167973;PHLDA2
feature 96807;cg16945415;null
feature 145957;cg05016408;ZNF300P1
feature 375343;cg01105356;CIITA
feature 145961;cg07499553;ZNF300P1
feature 14902;cg01443433;CSMD2
feature 145981;cg26891370;GPX3
feature 342597;cg19676502;null
feature 96835;cg14339848;KLF15
feature 408133;cg01697487;MYCBPAP
feature 293441;cg18395917;null
feature 309826;cg13307384;PRPF40B
feature 129610;cg16288562;null
feature 277071;cg03241897;SNORA54
feature 408138;cg06900494;EPN3
feature 178766;cg04314254;MICAL1
feature 309833;cg17724627;FMNL3
feature 342600;cg21841409;LINC01588
feature 473673;cg13092901;TYMP
feature 342603;cg22991506;LINC01588
feature 326224;cg12387106;null
feature 309840;cg19014335;FMNL3
feature 260695;cg16468905;null
feature 375376;cg08498465;CLEC16A
feature 260693;cg26883033;null
feature 408145;cg16010178;EPN3
feature 162398;cg03513762;null
feature 359012;cg06616221;null
feature 129637;cg25516542;null
feature 227941;cg15735721;TOX
feature 146027;cg06900355;null
feature 473706;cg07600533;KLHDC7B
feature 277110;cg19825639;NAP1L4
feature 408178;cg13438549;SPATA20
feature 408190;cg23599559;CACNA1G
feature 14973;cg24558425;CSMD2
feature 47751;cg00287713;MYT1L
feature 96902;cg05485589;ZXDC
feature 260740;cg27189803;null
feature 146059;cg22445920;SLC36A3
feature 375438;cg08712008;null
feature 473739;cg06530441;CPT1B
feature 260751;cg13650740;null
feature 260750;cg09925747;null
feature 129678;cg11403428;null
feature 293524;cg03673094;GUCY2EP
feature 64144;cg11124130;null
feature 146066;cg05672174;SLC36A2
feature 227986;cg00564465;null
feature 113299;cg02891686;SOD3
feature 129684;cg19958627;null
feature 293521;cg25717182;LRRC32
feature 424595;cg13996395;null
feature 457360;cg03082779;ZMYND8
feature 96919;cg06765947;UROC1
feature 260757;cg02097433;null
feature 473744;cg16386697;CPT1B
feature 277148;cg24759599;OSBPL5
feature 178843;cg11671688;GPR6
feature 15002;cg15204286;C1orf94
feature 64154;cg03665212;null
feature 211608;cg07876788;TMEM140
feature 227999;cg15711016;CA8
feature 457369;cg19772907;ZMYND8
feature 359077;cg06526753;DUT
feature 309927;cg25762974;FAIM2
feature 31396;cg26809127;EFNA1
feature 47783;cg22946562;MYT1L
feature 96938;cg17148317;CHST13
feature 309929;cg27188703;FAIM2
feature 96943;cg04527018;CHST13
feature 31408;cg22821026;SLC50A1
feature 424631;cg26116980;NFATC1
feature 441010;cg15035382;CNTD2
feature 309939;cg27161550;LOC283332
feature 293555;cg02974655;TSKU
feature 195256;cg27322103;null
feature 309944;cg25112641;AQP2
feature 64188;cg20814158;null
feature 96957;cg24088042;TXNRD3NB
feature 309946;cg25170822;AQP2
feature 277188;cg14991004;OSBPL5
feature 441031;cg15153957;AKT2
feature 47810;cg09144004;MYT1L
feature 31428;cg14171486;null
feature 211654;cg08824245;STRA8
feature 228041;cg14839134;RAB2A
feature 424653;cg07277828;NFATC1
feature 178898;cg23891903;DDO
feature 47830;cg14958969;MYT1L
feature 211669;cg14267645;STRA8
feature 441040;cg22973042;AKT2
feature 277212;cg12851049;OSBPL5
feature 47833;cg26315667;MYT1L
feature 473822;cg04537738;SHANK3
feature 391900;cg22173510;NXN
feature 47835;cg00320539;MYT1L
feature 391897;cg16441900;NXN
feature 162526;cg17077639;null
feature 391908;cg13120258;NXN
feature 228064;cg03275056;CHD7
feature 31462;cg20949223;MUC1
feature 162533;cg17784811;C6orf15
feature 64235;cg07529575;EN1
feature 260847;cg23865980;ZMIZ1
feature 457451;cg22410544;PREX1
feature 162540;cg25746092;PSORS1C1
feature 80623;cg18827934;KIF1A
feature 228076;cg02796478;CHD7
feature 293611;cg04230073;null
feature 97006;cg22572820;CHCHD6
feature 408310;cg19241878;LINC00483
feature 424695;cg25951288;NFATC1
feature 97011;cg09373298;CHCHD6
feature 47859;cg13205617;MYT1L
feature 47861;cg02179341;MYT1L
feature 441072;cg18376335;PLD3
feature 293628;cg24414039;CAPN5
feature 31482;cg24457118;THBS3
feature 211704;cg19477020;NUP205
feature 293631;cg24994611;CAPN5
feature 441082;cg08360726;PLD3
feature 326393;cg15403093;ANKLE2
feature 441080;cg25509871;PLD3
feature 47873;cg09972405;MYT1L
feature 457476;cg26206598;PREX1
feature 162560;cg00187437;CDSN
feature 129794;cg03653962;null
feature 80644;cg13486528;null
feature 457473;cg27511255;PREX1
feature 97030;cg15124820;null
feature 211721;cg19897172;C7orf73
feature 195342;cg20396393;FAM221A
feature 80652;cg17461448;AGXT
feature 359179;cg26814712;SHC4
feature 129807;cg12851401;null
feature 391946;cg02459042;NXN
feature 113424;cg13499600;ZCCHC4
feature 80656;cg11385353;AGXT
feature 47890;cg01395254;MYT1L
feature 277264;cg08637119;MRGPRG
feature 326418;cg26504440;null
feature 64284;cg18669186;null
feature 310041;cg25107077;SMARCD1
feature 211747;cg23621013;FAM180A
feature 64290;cg05256483;null
feature 244513;cg14365564;STOM
feature 64293;cg14634534;null
feature 195371;cg24242823;NPY
feature 260905;cg19666787;ZMIZ1
feature 195373;cg00355281;NPY
feature 146226;cg10931792;null
feature 408375;cg17717010;null
feature 31541;cg13459205;FAM189B
feature 277308;cg26189213;null
feature 162622;cg26512045;CCHCR1
feature 162620;cg02652369;CCHCR1
feature 260929;cg19939077;PPIF
feature 211783;cg06790449;null
feature 424783;cg15943602;null
feature 277327;cg25280040;null
feature 64332;cg21858380;C1QL2
feature 47949;cg09798938;null
feature 359255;cg13780614;GALK2
feature 342871;cg19514905;FRMD6
feature 97107;cg01128031;null
feature 260949;cg25423573;ZCCHC24
feature 293724;cg04503500;PAK1
feature 162651;cg12044213;CCHCR1
feature 441183;cg06299037;SPTBN4
feature 31578;cg03259273;CLK2
feature 31579;cg21403912;CLK2
feature 342872;cg18894781;FRMD6
feature 162652;cg20635071;CCHCR1
feature 80739;cg13537237;null
feature 457573;cg25531857;ZFAS1
feature 424802;cg26198107;null
feature 326498;cg10158717;GOLGA3
feature 293730;cg14076258;PAK1
feature 179051;cg02928110;REV3L
feature 293741;cg15861102;null
feature 326510;cg23058246;GOLGA3
feature 375662;cg09805403;GSPT1
feature 47980;cg03997167;null
feature 47982;cg23177576;null
feature 195437;cg07504598;DFNA5
feature 424822;cg24972087;null
feature 129907;cg08786674;null
feature 97142;cg13641317;null
feature 326524;cg22844555;GOLGA3
feature 277374;cg20576726;null
feature 441213;cg05609536;SPTBN4
feature 277370;cg26469019;null
feature 195452;cg06634596;OSBPL3
feature 162685;cg24876187;CCHCR1
feature 293755;cg21573582;AQP11
feature 97155;cg06621620;TPRA1
feature 260998;cg00198759;BEND3P3
feature 211846;cg14582478;null
feature 424832;cg02458554;null
feature 31623;cg11736940;PKLR
feature 392077;cg03131556;ABR
feature 80778;cg09991306;SNED1
feature 473995;cg19787070;null
feature 375689;cg03412557;SNX29
feature 80781;cg26718213;SNED1
feature 408456;cg02880679;MBTD1
feature 80782;cg10717312;SNED1
feature 211852;cg07945907;null
feature 179088;cg11572080;TRAF3IP2
feature 64403;cg19703946;DBI
feature 179095;cg27428856;TRAF3IP2
feature 162714;cg06652085;TCF19
feature 424862;cg21095808;CTDP1
feature 244634;cg14496753;LHX6
feature 162713;cg23998635;TCF19
feature 408477;cg06138526;null
feature 261027;cg27320518;MBL1P
feature 113568;cg23777600;RBPJ
feature 97190;cg08889930;MCM2
feature 474029;cg13510648;VCX3A
feature 129964;cg00107916;null
feature 392116;cg12799029;ABR
feature 408503;cg24341611;CA10
feature 129970;cg24751154;null
feature 392118;cg08034867;ABR
feature 113588;cg18229859;RBPJ
feature 211892;cg23925551;DGKI
feature 261051;cg12627983;null
feature 195514;cg01322214;C7orf31
feature 211898;cg13676366;DGKI
feature 15292;cg05845757;TFAP2E
feature 342980;cg10843707;NID2
feature 261058;cg17251097;TMEM254-AS1
feature 129987;cg21523601;null
feature 228295;cg21461564;TTPA
feature 211910;cg02085942;DGKI
feature 31686;cg11402704;RUSC1
feature 392131;cg24479027;ABR
feature 342989;cg13592399;NID2
feature 359372;cg03369250;GABPB1
feature 179147;cg17116895;FYN
feature 179148;cg03244438;FYN
feature 146387;cg16072304;null
feature 342998;cg04701034;NID2
feature 146390;cg18656708;null
feature 342995;cg00766845;NID2
feature 441297;cg07808231;LTBP4
feature 261083;cg04428701;PLAC9
feature 375772;cg08073667;SNX29
feature 474078;cg18747090;PNPLA4
feature 15323;cg13794863;null
feature 211935;cg13310971;CREB3L2
feature 211937;cg04604708;CREB3L2
feature 146400;cg18007959;null
feature 97250;cg18274619;MGLL
feature 211951;cg03304981;CREB3L2
feature 343017;cg17929687;PTGDR
feature 113649;cg20326867;STIM2
feature 261104;cg14862378;ANXA11
feature 392182;cg11314598;ABR
feature 97270;cg05768427;null
feature 228347;cg25260137;null
feature 195576;cg00237631;null
feature 408572;cg27210390;TOM1L1
feature 326648;cg24427504;null
feature 293883;cg14412490;null
feature 359429;cg01623008;null
feature 64514;cg23196129;null
feature 97283;cg17324149;null
feature 228359;cg13186884;null
feature 211979;cg20312364;null
feature 277518;cg14849140;STIM1
feature 162824;cg13212186;HCG27
feature 277513;cg02206807;STIM1
feature 146447;cg05191217;null
feature 64526;cg19865616;TMEM185B
feature 211987;cg04915064;null
